n,perspective,condition,flood_1,wind_1,flood_2,wind_2,decision,forced_decision,prior
5,self,better,5,135,8,100,Evacuate,Stay,without
5,self,better,5,135,7,100,Stay,Evacuate,with
5,self,better,5,135,6,100,Evacuate,Evacuate,without
0,self,uncertainty,4,120,14,145,Evacuate,Stay,with
0,self,uncertainty,4,120,18,145,Evacuate,Stay,without
0,self,uncertainty,4,120,14,145,Evacuate,Evacuate,with
0,self,uncertainty,4,120,18,145,Evacuate,Evacuate,without
1,self,uncertainty,4,120,16,140,Evacuate,Stay,with
1,self,uncertainty,4,120,16,150,Evacuate,Stay,without
1,self,uncertainty,4,120,16,140,Evacuate,Evacuate,with
1,self,uncertainty,4,120,16,145,Evacuate,Evacuate,without
2,self,uncertainty,4,120,14,145,Evacuate,Stay,with
2,self,uncertainty,4,120,16,145,"Evacuate







Although the exact impacts of the hurricane are uncertain, the estimated maximum sustained wind speed and flooding levels indicate that this hurricane has the potential to be very destructive. Given that you are in a one-story, single-detached house, it may not be safe to stay in your place and ride out the storm. The uncertainty and potential severity of the storm make it wise to evacuate to a safer location. While evacuation may come with additional costs such as paying for a hotel, it is likely to be a safer and better option than staying put, especially if the storm ends up being as strong as currently predicted.",Stay,without
2,self,uncertainty,4,120,14,145,Evacuate,Evacuate,with
2,self,uncertainty,4,120,18,145,"Evacuate







Although the exact impacts of the hurricane are uncertain, the estimated maximum sustained wind speed and flooding levels indicate that this hurricane has the potential to be very destructive. Given that you are in a one-story, single-detached house, it may not be safe to stay in your place and ride out the storm. The uncertainty and potential severity of the storm make it wise to evacuate to a safer location. While evacuation may come with additional costs such as paying for a hotel, it is likely to be a safer and better option than staying put, especially if the storm ends up being as strong as currently predicted.",Evacuate,without
3,self,uncertainty,4,120,14,145,Evacuate,Stay,with
3,self,uncertainty,4,120,18,145,Evacuate,Stay,without
3,self,uncertainty,4,120,16,135,Evacuate,Evacuate,with
3,self,uncertainty,4,120,18,145,Evacuate,Evacuate,without
4,self,uncertainty,8,120,16,145,Evacuate,Stay,with
4,self,uncertainty,8,120,18,145,Evacuate,Stay,without
4,self,uncertainty,8,120,16,145,Evacuate,Evacuate,with
4,self,uncertainty,8,120,18,145,Evacuate,Evacuate,without
5,self,uncertainty,4,120,16,140,Evacuate,Stay,with
5,self,uncertainty,4,120,16,145,Evacuate,Stay,without
5,self,uncertainty,4,120,16,145,Evacuate,Evacuate,with
5,self,uncertainty,4,120,18,145,Evacuate,Evacuate,without
0,self,utility,4,120,8,160,Evacuate,Stay,with
0,self,utility,4,120,24,160,Evacuate,Stay,without
0,self,utility,4,120,8,160,Evacuate,Evacuate,with
0,self,utility,4,120,24,160,Evacuate,Evacuate,without
1,self,utility,4,120,12,160,Stay,Stay,with
1,self,utility,4,120,24,160,Evacuate,Stay,without
1,self,utility,4,120,12,140,Stay,Evacuate,with
1,self,utility,4,120,16,140,Evacuate,Evacuate,without
2,self,utility,4,120,24,140,Evacuate,Stay,with
2,self,utility,4,120,24,150,Evacuate,Stay,without
2,self,utility,4,120,16,140,Evacuate,Evacuate,with
2,self,utility,4,120,24,140,Evacuate,Evacuate,without
3,self,utility,5,120,12,140,Evacuate,Stay,with
3,self,utility,5,120,24,160,Evacuate,Stay,without
3,self,utility,5,120,12,140,Evacuate,Evacuate,with
3,self,utility,5,120,24,160,Evacuate,Evacuate,without
4,self,utility,8,120,16,140,Evacuate,Stay,with
4,self,utility,8,120,24,160,Evacuate,Stay,without
4,self,utility,8,120,16,140,Evacuate,Evacuate,with
4,self,utility,8,120,24,160,Evacuate,Evacuate,without
5,self,utility,4,120,8,140,Evacuate,Stay,with
5,self,utility,4,120,24,140,Evacuate,Stay,without
5,self,utility,4,120,8,140,Evacuate,Evacuate,with
5,self,utility,4,120,16,140,Evacuate,Evacuate,without
0,roleplay,worse,4,120,12,160,Evacuate,Stay,with
0,roleplay,worse,4,120,24,160,Evacuate,Stay,without
0,roleplay,worse,4,120,12,160,Evacuate,Evacuate,with
0,roleplay,worse,4,120,24,160,Evacuate,Evacuate,without
1,roleplay,worse,12,120,24,150,Evacuate,Stay,with
1,roleplay,worse,12,120,16,140,Evacuate,Stay,without
1,roleplay,worse,12,120,24,140,Evacuate,Evacuate,with
1,roleplay,worse,12,120,24,160,Evacuate,Evacuate,without
2,roleplay,worse,8,120,16,140,Stay,Stay,with
2,roleplay,worse,8,120,16,140,Evacuate,Stay,without
2,roleplay,worse,8,120,16,140,Stay,Evacuate,with
2,roleplay,worse,8,120,24,140,Evacuate,Evacuate,without
3,roleplay,worse,8,120,16,140,Evacuate,Stay,with
3,roleplay,worse,8,120,24,160,Evacuate,Stay,without
3,roleplay,worse,8,120,16,140,Evacuate,Evacuate,with
3,roleplay,worse,8,120,24,140,Evacuate,Evacuate,without
4,roleplay,worse,4,120,12,140,Evacuate,Stay,with
4,roleplay,worse,4,120,16,140,Evacuate,Stay,without
4,roleplay,worse,4,120,12,140,Evacuate,Evacuate,with
4,roleplay,worse,4,120,24,140,Evacuate,Evacuate,without
5,roleplay,worse,12,120,24,140,Evacuate,Stay,with
5,roleplay,worse,12,120,24,160,Evacuate,Stay,without
5,roleplay,worse,12,120,24,140,Evacuate,Evacuate,with
5,roleplay,worse,12,120,16,140,Evacuate,Evacuate,without
0,roleplay,better,4,120,7,100,Evacuate,Stay,with
0,roleplay,better,4,120,6,100,Evacuate,Stay,without
0,roleplay,better,4,120,7,100,Evacuate,Evacuate,with
0,roleplay,better,4,120,6,100,Evacuate,Evacuate,without
1,roleplay,better,12,120,8,100,Evacuate,Stay,with
1,roleplay,better,12,120,6,100,Evacuate,Stay,without
1,roleplay,better,12,120,8,100,Evacuate,Evacuate,with
1,roleplay,better,12,120,6,100,Evacuate,Evacuate,without
2,roleplay,better,4,120,7,100,Evacuate,Stay,with
2,roleplay,better,4,120,6,100,Evacuate,Stay,without
2,roleplay,better,4,120,14,100,Evacuate,Evacuate,with
2,roleplay,better,4,120,6,100,Evacuate,Evacuate,without
3,roleplay,better,8,120,7,100,Evacuate,Stay,with
3,roleplay,better,8,120,8,100,Evacuate,Stay,without
3,roleplay,better,8,120,7,100,Evacuate,Evacuate,with
3,roleplay,better,8,120,8,100,Evacuate,Evacuate,without
4,roleplay,better,5,120,7,100,Stay,Stay,with
4,roleplay,better,5,120,6,100,Evacuate,Stay,without
4,roleplay,better,5,120,7,100,Stay,Evacuate,with
4,roleplay,better,5,120,6,100,Evacuate,Evacuate,without
5,roleplay,better,4,120,7,100,Evacuate,Stay,with
5,roleplay,better,4,120,10,100,Evacuate,Stay,without
5,roleplay,better,4,120,7,100,Evacuate,Evacuate,with
5,roleplay,better,4,120,6,100,Evacuate,Evacuate,without
0,roleplay,uncertainty,4,120,16,140,Evacuate,Stay,with
0,roleplay,uncertainty,4,120,18,145,Evacuate,Stay,without
0,roleplay,uncertainty,4,120,16,140,Evacuate,Evacuate,with
0,roleplay,uncertainty,4,120,18,145,Evacuate,Evacuate,without
1,roleplay,uncertainty,8,105,16,145,Stay,Stay,with
1,roleplay,uncertainty,8,105,18,145,Evacuate,Stay,without
1,roleplay,uncertainty,8,105,16,145,Stay,Evacuate,with
1,roleplay,uncertainty,8,105,18,145,Evacuate,Evacuate,without
2,roleplay,uncertainty,12,120,16,140,Evacuate,Stay,with
2,roleplay,uncertainty,12,120,16,145,Stay,Stay,without
2,roleplay,uncertainty,12,120,16,140,Evacuate,Evacuate,with
2,roleplay,uncertainty,12,120,18,145,Stay,Evacuate,without
3,roleplay,uncertainty,8,120,16,140,Evacuate,Stay,with
3,roleplay,uncertainty,8,120,18,145,Evacuate,Stay,without
3,roleplay,uncertainty,8,120,16,145,Evacuate,Evacuate,with
3,roleplay,uncertainty,8,120,18,150,Evacuate,Evacuate,without
4,roleplay,uncertainty,10,120,16,140,Evacuate,Stay,with
4,roleplay,uncertainty,10,120,16,145,Evacuate,Stay,without
4,roleplay,uncertainty,10,120,16,140,Evacuate,Evacuate,with
4,roleplay,uncertainty,10,120,16,145,Evacuate,Evacuate,without
5,roleplay,uncertainty,4,120,16,140,Evacuate,Stay,with
5,roleplay,uncertainty,4,120,16,145,Evacuate,Stay,without
5,roleplay,uncertainty,4,120,14,145,Evacuate,Evacuate,with
5,roleplay,uncertainty,4,120,18,145,Evacuate,Evacuate,without
0,roleplay,utility,4,120,12,160,Evacuate,Stay,with
0,roleplay,utility,4,120,24,160,Evacuate,Stay,without
0,roleplay,utility,4,120,12,140,Evacuate,Evacuate,with
0,roleplay,utility,4,120,16,140,Evacuate,Evacuate,without
1,roleplay,utility,8,120,16,140,Stay,Stay,with
1,roleplay,utility,8,120,24,140,Evacuate,Stay,without
1,roleplay,utility,8,120,16,140,Stay,Evacuate,with
1,roleplay,utility,8,120,16,140,Evacuate,Evacuate,without
2,roleplay,utility,8,120,16,140,Evacuate,Stay,with
2,roleplay,utility,8,120,24,140,Evacuate,Stay,without
2,roleplay,utility,8,120,16,140,Evacuate,Evacuate,with
2,roleplay,utility,8,120,24,150,Evacuate,Evacuate,without
3,roleplay,utility,4,135,12,150,Evacuate,Stay,with
3,roleplay,utility,4,135,24,150,Evacuate,Stay,without
3,roleplay,utility,4,135,12,140,Evacuate,Evacuate,with
3,roleplay,utility,4,135,16,140,Evacuate,Evacuate,without
4,roleplay,utility,8,105,16,150,Evacuate,Stay,with
4,roleplay,utility,8,105,16,140,Evacuate,Stay,without
4,roleplay,utility,8,105,16,140,Evacuate,Evacuate,with
4,roleplay,utility,8,105,24,160,Evacuate,Evacuate,without
5,roleplay,utility,4,120,12,140,Stay,Stay,with
5,roleplay,utility,4,120,16,140,Evacuate,Stay,without
5,roleplay,utility,4,120,12,240,Stay,Evacuate,with
5,roleplay,utility,4,120,20,140,Evacuate,Evacuate,without
0,predict,worse,12,120,24,140,Evacuate,Stay,with
0,predict,worse,12,120,24,160,Evacuate,Stay,without
0,predict,worse,12,120,24,140,Evacuate,Evacuate,with
0,predict,worse,12,120,16,140,Evacuate,Evacuate,without
1,predict,worse,12,120,24,140,Evacuate,Stay,with
1,predict,worse,12,120,16,140,Evacuate,Stay,without
1,predict,worse,12,120,16,140,Evacuate,Evacuate,with
1,predict,worse,12,120,16,140,Evacuate,Evacuate,without
2,predict,worse,12,105,16,145,Evacuate,Stay,with
2,predict,worse,12,105,24,160,Evacuate,Stay,without
2,predict,worse,12,105,18,140,Evacuate,Evacuate,with
2,predict,worse,12,105,16,140,Evacuate,Evacuate,without
3,predict,worse,12,120,16,140,Evacuate,Stay,with
3,predict,worse,12,120,16,140,Evacuate,Stay,without
3,predict,worse,12,120,16,140,Evacuate,Evacuate,with
3,predict,worse,12,120,24,160,Evacuate,Evacuate,without
4,predict,worse,8,120,16,140,Evacuate,Stay,with
4,predict,worse,8,120,16,140,Evacuate,Stay,without
4,predict,worse,8,120,16,140,Evacuate,Evacuate,with
4,predict,worse,8,120,24,160,Evacuate,Evacuate,without
5,predict,worse,12,120,24,140,Evacuate,Stay,with
5,predict,worse,12,120,8,160,Evacuate,Stay,without
5,predict,worse,12,120,16,140,Evacuate,Evacuate,with
5,predict,worse,12,120,16,140,Evacuate,Evacuate,without
0,predict,better,12,120,8,100,Evacuate,Stay,with
0,predict,better,12,120,8,100,Evacuate,Stay,without
0,predict,better,12,120,8,100,Evacuate,Evacuate,with
0,predict,better,12,120,8,100,Evacuate,Evacuate,without
1,predict,better,16,135,10,100,Evacuate,Stay,with
1,predict,better,16,135,8,100,Evacuate,Stay,without
1,predict,better,16,135,12,100,Evacuate,Evacuate,with
1,predict,better,16,135,8,100,Evacuate,Evacuate,without
2,predict,better,10,120,9,100,Evacuate,Stay,with
2,predict,better,10,120,8,100,Evacuate,Stay,without
2,predict,better,10,120,10,100,Evacuate,Evacuate,with
2,predict,better,10,120,6,100,Evacuate,Evacuate,without
3,predict,better,12,120,8,100,Stay,Stay,with
3,predict,better,12,120,8,100,Evacuate,Stay,without
3,predict,better,12,120,8,100,Stay,Evacuate,with
3,predict,better,12,120,5,100,Evacuate,Evacuate,without
4,predict,better,12,135,7,100,Evacuate,Stay,with
4,predict,better,12,135,8,100,Evacuate,Stay,without
4,predict,better,12,135,8,100,Evacuate,Evacuate,with
4,predict,better,12,135,6,100,Evacuate,Evacuate,without
5,predict,better,16,120,10,80,Evacuate,Stay,with
5,predict,better,16,120,8,100,Evacuate,Stay,without
5,predict,better,16,120,10,80,Evacuate,Evacuate,with
5,predict,better,16,120,6,100,Evacuate,Evacuate,without
0,predict,uncertainty,12,120,16,140,Evacuate,Stay,with
0,predict,uncertainty,12,120,16,145,Evacuate,Stay,without
0,predict,uncertainty,12,120,16,140,Evacuate,Evacuate,with
0,predict,uncertainty,12,120,16,145,Evacuate,Evacuate,without
1,predict,uncertainty,16,135,16,140,Evacuate,Stay,with
1,predict,uncertainty,16,135,16,145,Evacuate,Stay,without
1,predict,uncertainty,16,135,16,140,Evacuate,Evacuate,with
1,predict,uncertainty,16,135,18,145,Evacuate,Evacuate,without
2,predict,uncertainty,12,120,16,140,Evacuate,Stay,with
2,predict,uncertainty,12,120,16,145,Evacuate,Stay,without
2,predict,uncertainty,12,120,16,140,Evacuate,Evacuate,with
2,predict,uncertainty,12,120,18,150,Evacuate,Evacuate,without
3,predict,uncertainty,12,120,16,140,Evacuate,Stay,with
3,predict,uncertainty,12,120,16,145,Evacuate,Stay,without
3,predict,uncertainty,12,120,16,140,Evacuate,Evacuate,with
3,predict,uncertainty,12,120,18,145,Evacuate,Evacuate,without
4,predict,uncertainty,12,120,16,140,Evacuate,Stay,with
4,predict,uncertainty,12,120,18,145,Evacuate,Stay,without
4,predict,uncertainty,12,120,16,140,Evacuate,Evacuate,with
4,predict,uncertainty,12,120,18,145,Evacuate,Evacuate,without
5,predict,uncertainty,10,120,16,145,Stay,Stay,with
5,predict,uncertainty,10,120,16,145,Evacuate,Stay,without
5,predict,uncertainty,10,120,16,140,Stay,Evacuate,with
5,predict,uncertainty,10,120,16,145,Evacuate,Evacuate,without
0,predict,utility,12,120,16,140,Evacuate,Stay,with
0,predict,utility,12,120,24,140,Evacuate,Stay,without
0,predict,utility,12,120,24,140,Evacuate,Evacuate,with
0,predict,utility,12,120,16,140,Evacuate,Evacuate,without
1,predict,utility,16,120,16,140,Evacuate,Stay,with
1,predict,utility,16,120,16,140,Evacuate,Stay,without
1,predict,utility,16,120,16,140,Evacuate,Evacuate,with
1,predict,utility,16,120,16,140,Evacuate,Evacuate,without
2,predict,utility,12,120,16,140,Stay,Stay,with
2,predict,utility,12,120,16,140,Evacuate,Stay,without
2,predict,utility,12,120,24,140,Stay,Evacuate,with
2,predict,utility,12,120,16,140,Evacuate,Evacuate,without
3,predict,utility,12,105,16,140,Evaluate,Stay,with
3,predict,utility,12,105,24,160,Evacuate,Stay,without
3,predict,utility,12,105,24,140,Evaluate,Evacuate,with
3,predict,utility,12,105,24,160,Evacuate,Evacuate,without
4,predict,utility,16,120,20,140,Stay,Stay,with
4,predict,utility,16,120,24,160,Evacuate,Stay,without
4,predict,utility,16,120,16,140,Stay,Evacuate,with
4,predict,utility,16,120,16,140,Evacuate,Evacuate,without
5,predict,utility,12,120,24,160,Evacuate,Stay,with
5,predict,utility,12,120,24,160,Evacuate,Stay,without
5,predict,utility,12,120,24,140,Evacuate,Evacuate,with
5,predict,utility,12,120,16,140,Evacuate,Evacuate,without
